Nome do Clube,Estado,Nome do Técnico,Nacionalidade do Técnico,Tipo de Vínculo,Estreia,Data Início,Data Fim,Vitórias,Empates,Derrotas,Tipo Transação Entrada,Tipo Transação Saída,Eventos
Bragantino,SP,Mazola Júnior,Brasil,1,False,2012-12-18,2013-05-30,7,7,9,1,1.0,"[{'nome': 'Eliminação na segunda fase da Copa do Brasil 2013 para a Ponte Preta', 'tipo_evento': 2, 'data': '2013-05-09'}, {'nome': 'Eliminação na primeira fase do Paulista 2013', 'tipo_evento': 2, 'data': '2013-04-21'}]"
Bragantino,SP,Vagner Benazzi,Brasil,1,False,2013-05-31,2013-09-18,8,6,7,1,1.0,[]
Bragantino,SP,Marcelo Veiga,Brasil,1,False,2013-09-20,2014-05-21,15,7,18,1,3.0,"[{'nome': 'Eliminação nas quartas de final do Paulista 2014 para o Palmeiras', 'tipo_evento': 2, 'data': '2014-03-27'}]"
Bragantino,SP,Gaspar,Brasil,2,False,2014-05-23,2014-06-03,1,2,1,1,1.0,[]
Bragantino,SP,Mazola Júnior,Brasil,1,False,2014-06-16,2014-07-27,0,0,4,1,1.0,[]
Bragantino,SP,PC Gusmão,Brasil,1,False,2014-07-28,2014-10-22,10,2,9,1,3.0,"[{'nome': 'Eliminação nas oitavas de final da Copa do Brasil 2014 para o Corinthians', 'tipo_evento': 2, 'data': '2014-09-03'}]"
Bragantino,SP,Gaspar,Brasil,2,False,2014-07-29,2014-07-30,0,0,1,1,1.0,[]
Bragantino,SP,Gaspar,Brasil,2,False,2014-10-23,2014-11-29,3,1,3,1,4.0,[]
Bragantino,SP,Marco Aurélio,Brasil,1,False,2014-12-08,2015-02-22,1,0,5,1,2.0,"[{'nome': 'Rebaixamento para a Série A2 do Paulista em 2015', 'tipo_evento': 3, 'data': '2015-02-22'}]"
Bragantino,SP,Márcio Araújo,Brasil,1,False,2015-02-23,2015-03-19,1,0,4,1,5.0,"[{'nome': 'Rebaixamento para a Série A2 do Paulista em 2015', 'tipo_evento': 3, 'data': '2015-03-19'}]"
Bragantino,SP,Vagner Benazzi,Brasil,1,False,2015-03-20,2015-04-08,0,1,4,1,1.0,"[{'nome': 'Rebaixamento para a Série A2 do Paulista em 2015', 'tipo_evento': 3, 'data': '2015-04-08'}]"
Bragantino,SP,Alberto Félix,Brasil,2,False,2015-04-15,2015-04-16,1,0,0,1,1.0,[]
Bragantino,SP,Osmar Loss,Brasil,1,False,2015-04-23,2015-07-09,4,1,7,1,2.0,"[{'nome': 'Eliminação na segunda fase da Copa do Brasil 2015 para o Criciúma', 'tipo_evento': 2, 'data': '2015-04-23'}]"
Bragantino,SP,Wagner Lopes,Brasil,1,False,2015-07-10,2015-12-23,15,2,10,1,2.0,[]
Bragantino,SP,Léo Condé,Brasil,1,False,2015-12-31,2016-05-22,13,8,5,1,5.0,"[{'nome': 'Rebaixamento para a Série C em 2016', 'tipo_evento': 3, 'data': '2016-05-22'}, {'nome': 'Eliminação nas quartas de final do Paulista A2 2016 para o Batatais', 'tipo_evento': 2, 'data': '2016-04-15'}]"
Bragantino,SP,Alberto Félix,Brasil,2,False,2016-05-23,2016-05-24,0,0,1,1,1.0,"[{'nome': 'Rebaixamento para a Série C em 2016', 'tipo_evento': 3, 'data': '2016-05-24'}]"
Bragantino,SP,Toninho Cecílio,Brasil,1,False,2016-05-25,2016-06-26,2,4,3,1,1.0,"[{'nome': 'Rebaixamento para a Série C em 2016', 'tipo_evento': 3, 'data': '2016-06-26'}]"
Bragantino,SP,Marcelo Veiga,Brasil,1,False,2016-06-28,2016-10-25,6,3,13,1,5.0,"[{'nome': 'Rebaixamento para a Série C em 2016', 'tipo_evento': 3, 'data': '2016-10-25'}, {'nome': 'Eliminação na terceira fase da Copa do Brasil 2016 para o Botafogo', 'tipo_evento': 2, 'data': '2016-07-27'}]"
Bragantino,SP,Estevam Soares,Brasil,1,False,2016-10-25,2016-11-26,0,2,4,1,4.0,"[{'nome': 'Rebaixamento para a Série C em 2016', 'tipo_evento': 3, 'data': '2016-11-26'}]"
Bragantino,SP,Alberto Félix,Brasil,1,False,2016-11-29,2017-07-04,12,9,11,1,1.0,"[{'nome': 'Eliminação na primeira fase da Série C 2017', 'tipo_evento': 2, 'data': '2017-07-04'}, {'nome': 'Eliminação na primeira fase da Copa do Brasil 2017 para o Vitória', 'tipo_evento': 2, 'data': '2017-02-22'}]"
Bragantino,SP,Roberto Fonseca,Brasil,1,False,2017-07-07,2017-08-21,1,4,2,1,5.0,"[{'nome': 'Eliminação na primeira fase da Série C 2017', 'tipo_evento': 2, 'data': '2017-08-21'}]"
Bragantino,SP,Marcelo Veiga,Brasil,1,False,2017-08-22,2019-03-30,19,21,17,1,1.0,"[{'nome': 'Eliminação na terceira fase da Copa do Brasil 2018 para o Vitória', 'tipo_evento': 2, 'data': '2018-03-15'}, {'nome': 'Eliminação nas quartas de final do Paulista 2018 para o Corinthians', 'tipo_evento': 2, 'data': '2018-03-22'}, {'nome': 'Eliminação na semifinal da Série C em 2018', 'tipo_evento': 2, 'data': '2018-09-09'}, {'nome': 'Eliminação na primeira fase do Paulista 2019', 'tipo_evento': 2, 'data': '2019-03-20'}]"
Bragantino,SP,Antônio Carlos Zago,Brasil,1,False,2019-04-01,2019-12-24,22,9,7,1,2.0,"[{'nome': 'Campeão da Série B 2019', 'tipo_evento': 1, 'data': '2019-11-30'}]"
Bragantino,SP,Vinícius Munhoz,Brasil,2,False,2020-01-17,2020-01-27,0,1,1,1,1.0,[]
Bragantino,SP,Felipe Conceição,Brasil,1,False,2020-01-28,2020-08-31,9,4,6,1,1.0,"[{'nome': 'Eliminação nas quartas de final do Paulista 2020 para o Corinthians', 'tipo_evento': 2, 'data': '2020-07-30'}]"
Bragantino,SP,Marcinho,Brasil,2,False,2020-09-01,2020-09-03,0,1,0,1,1.0,[]
Bragantino,SP,Maurício Barbieri,Brasil,1,False,2020-09-04,2022-11-10,64,47,50,1,1.0,"[{'nome': 'Eliminação nas oitavas de final da Copa do Brasil 2020 para o Palmeiras', 'tipo_evento': 2, 'data': '2020-11-05'}, {'nome': 'Eliminação nas quartas de final do Paulista 2021 para o Palmeiras', 'tipo_evento': 2, 'data': '2021-05-14'}, {'nome': 'Eliminação na terceira fase da Copa do Brasil 2021 para o Fluminense', 'tipo_evento': 2, 'data': '2021-06-09'}, {'nome': 'Eliminação na semifinal do Campeonato Paulista 2022 para o Palmeiras', 'tipo_evento': 2, 'data': '2022-03-26'}, {'nome': 'Eliminação na fase de grupos da Libertadores de 2022', 'tipo_evento': 2, 'data': '2022-05-24'}, {'nome': 'Eliminação na Terceira Fase da Copa do Brasil de 2022 para o Goiás', 'tipo_evento': 2, 'data': '2022-05-31'}]"
Bragantino,SP,Marcinho,Brasil,2,False,2022-11-11,2022-11-13,0,0,1,1,1.0,[]
Bragantino,SP,Pedro Caixinha,Portugal,1,False,2022-12-10,,0,0,0,1,,"[{'nome': 'Eliminação na segunda fase da Copa do Brasil 2023 para o Ypiranga-RS', 'tipo_evento': 2, 'data': '2023-03-15'}, {'nome': 'Eliminação na semifinal do Campeonato Paulista 2023 para o Água Santa', 'tipo_evento': 2, 'data': '2023-03-20'}, {'nome': 'Eliminação nas oitavas de final da Sul-Americana de 2023 para o América-MG', 'tipo_evento': 2, 'data': '2023-08-10'}, {'nome': 'Eliminação na terceira fase da Libertadores 2024 para o Botafogo', 'tipo_evento': 2, 'data': '2024-03-13'}, {'nome': 'Eliminação na semifinal do Campeonato Paulista 2024 para o Santos', 'tipo_evento': 2, 'data': '2024-03-27'}]"
Corinthians,SP,Geninho,Brasil,1,False,2003-01-09,2003-09-29,24,13,17,1,1.0,"[{'nome': 'Campeão Paulista de 2003 sobre o São Paulo', 'tipo_evento': 1, 'data': '2003-03-22'}, {'nome': 'Eliminação nas oitavas da Libertadores de 2003 para o River Plate', 'tipo_evento': 2, 'data': '2003-05-14'}, {'nome': 'Eliminação na primeira fase da Sul-Americana de 2003', 'tipo_evento': 2, 'data': '2003-08-13'}]"
Corinthians,SP,Júnior,Brasil,1,False,2003-10-01,2003-10-13,0,0,2,1,2.0,[]
Corinthians,SP,Jairo Leal,Brasil,2,False,2003-10-05,2003-10-05,1,0,0,1,1.0,[]
Corinthians,SP,Juninho Fonseca,Brasil,1,False,2003-10-14,2004-02-17,5,3,8,1,1.0,[]
Corinthians,SP,Oswaldo de Oliveira,Brasil,1,False,2004-02-17,2004-05-24,5,3,8,1,1.0,"[{'nome': 'Eliminação no Paulista de 2004', 'tipo_evento': 2, 'data': '2004-03-14'}, {'nome': 'Eliminação na quarta fase da Copa do Brasil de 2004 para o Vitória', 'tipo_evento': 2, 'data': '2004-05-19'}]"
Corinthians,SP,Tite,Brasil,1,False,2004-05-27,2005-03-01,24,15,12,1,1.0,[]
Corinthians,SP,Márcio Bittencourt,Brasil,2,False,2005-03-05,2005-03-05,1,0,0,1,1.0,[]
Corinthians,SP,Daniel Passarella,Argentina,1,False,2005-03-06,2005-05-10,7,4,4,1,1.0,"[{'nome': 'Eliminação nas oitavas de final da Copa do Brasil de 2005 para o Figueirense', 'tipo_evento': 2, 'data': '2005-05-08'}]"
Corinthians,SP,Márcio Bittencourt,Brasil,1,False,2005-05-15,2005-09-25,16,6,4,1,1.0,[]
Corinthians,SP,Antônio Lopes,Brasil,1,False,2005-09-26,2006-03-12,19,7,10,1,2.0,"[{'nome': 'Campeão Brasileiro de 2005', 'tipo_evento': 1, 'data': '2005-12-04'}, {'nome': 'Eliminação nas quartas da Sul-Americana de 2005 para o Pumas', 'tipo_evento': 2, 'data': '2005-11-09'}]"
Corinthians,SP,Ademar Braga,Brasil,1,False,2006-03-19,2006-05-04,6,3,6,1,1.0,"[{'nome': 'Eliminação nas oitavas da Libertadores de 2006 para o River Plate', 'tipo_evento': 2, 'data': '2006-05-04'}]"
Corinthians,SP,Geninho,Brasil,1,False,2006-05-11,2006-08-12,2,1,8,1,1.0,[]
Corinthians,SP,Emerson Leão,Brasil,1,False,2006-08-14,2007-04-03,22,13,11,1,1.0,"[{'nome': 'Eliminação nas oitavas da Sul-Americana de 2006 para o Lanús', 'tipo_evento': 2, 'data': '2006-10-11'}, {'nome': 'Eliminação na primeira fase do Paulistão de 2007', 'tipo_evento': 2, 'data': '2007-03-31'}]"
Corinthians,SP,José Augusto,Brasil,2,False,2007-04-07,2007-04-18,1,2,0,1,1.0,"[{'nome': 'Eliminação nas oitavas da Copa do Brasil de 2007 para o Náutico', 'tipo_evento': 2, 'data': '2007-04-18'}]"
Corinthians,SP,Carpegiani,Brasil,1,False,2007-04-15,2007-08-25,6,9,8,1,1.0,"[{'nome': 'Eliminação nas oitavas da Copa do Brasil de 2007 para o Náutico', 'tipo_evento': 2, 'data': '2007-04-26'}, {'nome': 'Eliminação na primeira fase da Sul-Americana de 2007 para o Botafogo', 'tipo_evento': 2, 'data': '2007-08-22'}, {'nome': 'Rebaixamento para a Série B em 2007', 'tipo_evento': 3, 'data': '2007-08-25'}]"
Corinthians,SP,José Augusto,Brasil,2,False,2007-08-29,2007-09-23,2,0,5,1,1.0,"[{'nome': 'Eliminação na primeira fase da Sul-Americana de 2007 para o Botafogo', 'tipo_evento': 2, 'data': '2007-09-12'}, {'nome': 'Rebaixamento para a Série B em 2007', 'tipo_evento': 3, 'data': '2007-09-23'}]"
Corinthians,SP,Nelsinho Baptista,Brasil,1,False,2007-09-25,2007-12-04,2,5,4,1,1.0,"[{'nome': 'Rebaixamento para a Série B em 2007', 'tipo_evento': 3, 'data': '2007-12-02'}]"
Corinthians,SP,Mano Menezes,Brasil,1,False,2007-12-04,2010-07-25,97,49,31,2,3.0,"[{'nome': 'Campeão da Série B em 2008', 'tipo_evento': 1, 'data': '2008-11-29'}, {'nome': 'Campeão do Campeonato Paulista 2009 sobre o Santos', 'tipo_evento': 1, 'data': '2009-05-03'}, {'nome': 'Campeão da Copa do Brasil de 2009 sobre o Internacional', 'tipo_evento': 1, 'data': '2009-07-01'}, {'nome': 'Eliminação na primeira fase do Campeonato Paulista de 2008', 'tipo_evento': 2, 'data': '2008-04-06'}, {'nome': 'Eliminação na primeira fase do Campeonato Paulista de 2010', 'tipo_evento': 2, 'data': '2010-04-07'}, {'nome': 'Eliminação nas oitavas da Libertadores de 2010 para o Flamengo', 'tipo_evento': 2, 'data': '2010-05-05'}]"
Corinthians,SP,Adilson Batista,Brasil,1,False,2010-07-25,2010-10-10,7,4,6,1,1.0,[]
Corinthians,SP,Fábio Carille,Brasil,2,False,2010-10-13,2010-10-17,0,1,1,1,1.0,[]
Corinthians,SP,Tite,Brasil,1,False,2010-10-18,2013-12-08,106,72,42,1,1.0,"[{'nome': 'Campeão Brasileiro de 2011', 'tipo_evento': 1, 'data': '2011-12-04'}, {'nome': 'Campeão da Libertadores de 2012 sobre o Boca Juniors', 'tipo_evento': 1, 'data': '2012-04-22'}, {'nome': 'Campeão do Mundial de Clubes de 2012 sobre o Chelsea', 'tipo_evento': 1, 'data': '2012-12-16'}, {'nome': 'Campeão Paulista de 2013 sobre o Santos', 'tipo_evento': 1, 'data': '2013-05-19'}, {'nome': 'Campeão da Recopa Sul-Americana de 2013 sobre o São Paulo', 'tipo_evento': 1, 'data': '2013-07-17'}, {'nome': 'Eliminação na pré-Libertadores de 2011 para o Tolima', 'tipo_evento': 2, 'data': '2011-02-02'}, {'nome': 'Eliminação nas quartas de final do Paulistão de 2012 para a Ponte Preta', 'tipo_evento': 2, 'data': '2012-07-04'}, {'nome': 'Eliminação nas oitavas da Libertadores de 2013 para o Boca Juniors', 'tipo_evento': 2, 'data': '2013-05-15'}, {'nome': 'Eliminação na semifinal do Paulista de 2015 para o Palmeiras', 'tipo_evento': 2, 'data': '2005-04-19'}]"
Corinthians,SP,Mano Menezes,Brasil,1,False,2013-12-11,2014-12-06,31,15,15,1,1.0,"[{'nome': 'Eliminação na primeira fase do Campeonato Paulista de 2014', 'tipo_evento': 2, 'data': '2014-03-23'}, {'nome': 'Eliminação nas quartas da Copa do Brasil de 2014 para o Atlético-MG', 'tipo_evento': 2, 'data': '2014-10-15'}]"
Corinthians,SP,Tite,Brasil,1,False,2014-12-15,2016-06-15,61,23,15,2,3.0,"[{'nome': 'Campeão Brasileiro de 2015', 'tipo_evento': 1, 'data': '2015-12-06'}, {'nome': 'Eliminação nas oitavas da Libertadores de 2015 para o Guaraní', 'tipo_evento': 2, 'data': '2015-05-13'}, {'nome': 'Eliminação nas oitavas da Copa do Brasil de 2015 para o Santos', 'tipo_evento': 2, 'data': '2015-08-26'}, {'nome': 'Eliminação na semifinal do Paulista de 2016 para o Audax-SP', 'tipo_evento': 2, 'data': '2016-04-23'}, {'nome': 'Eliminação nas oitavas da Libertadores de 2016 para o Nacional-URU', 'tipo_evento': 2, 'data': '2016-05-04'}]"
Corinthians,SP,Fábio Carille,Brasil,2,False,2016-06-15,2016-06-19,1,0,1,1,1.0,[]
Corinthians,SP,Cristóvão Borges,Brasil,1,False,2016-06-19,2016-09-17,7,5,6,1,1.0,[]
Corinthians,SP,Fábio Carille,Brasil,2,False,2016-09-21,2016-10-12,3,1,2,1,1.0,"[{'nome': 'Eliminação nas quartas da Copa do Brasil de 2016 para o Cruzeiro', 'tipo_evento': 2, 'data': '2016-09-28'}]"
Corinthians,SP,Oswaldo de Oliveira,Brasil,1,False,2016-10-14,2016-12-15,2,4,3,1,1.0,"[{'nome': 'Eliminação nas quartas da Copa do Brasil de 2016 para o Cruzeiro', 'tipo_evento': 2, 'data': '2016-10-19'}]"
Corinthians,SP,Fábio Carille,Brasil,1,False,2016-12-22,2018-05-22,53,28,18,1,1.0,"[{'nome': 'Campeão paulista de 2017 sobre a Ponte Preta', 'tipo_evento': 1, 'data': '2017-05-07'}, {'nome': 'Campeão Brasileiro de 2017', 'tipo_evento': 1, 'data': '2017-12-03'}, {'nome': 'Campeão Paulista de 2018 sobre o Palmeiras', 'tipo_evento': 1, 'data': '2018-04-08'}, {'nome': 'Eliminação na quarta fase da Copa do Brasil de 2017 para o Internacional', 'tipo_evento': 2, 'data': '2017-04-19'}, {'nome': 'Eliminação nas oitavas da Sul-Americana de 2017 para o Racing', 'tipo_evento': 2, 'data': '2017-09-20'}]"
Corinthians,SP,Osmar Loss,Brasil,1,False,2018-05-22,2018-09-05,8,4,10,1,1.0,"[{'nome': 'Eliminação nas oitavas da Libertadores de 2018 para o Colo-Colo', 'tipo_evento': 2, 'data': '2018-08-29'}]"
Corinthians,SP,Jair Ventura,Brasil,1,False,2018-09-06,2018-12-03,4,6,9,1,1.0,[]
Corinthians,SP,Fábio Carille,Brasil,1,False,2018-12-07,2019-11-03,27,25,17,1,1.0,"[{'nome': 'Campeão Paulista de 2019 sobre o São Paulo', 'tipo_evento': 1, 'data': '2019-04-21'}, {'nome': 'Eliminação nas oitavas de final da Copa do Brasil de 2019 para o Flamengo', 'tipo_evento': 2, 'data': '2019-06-04'}, {'nome': 'Eliminação na semifinal da Sul-Americana de 2019 para o Independiente del Valle', 'tipo_evento': 2, 'data': '2019-09-25'}]"
Corinthians,SP,Dyego Coelho,Brasil,2,False,2019-11-04,2019-12-08,3,2,3,1,1.0,[]
Corinthians,SP,Tiago Nunes,Brasil,1,False,2019-12-09,2020-09-11,9,10,7,1,1.0,"[{'nome': 'Eliminação na segunda fase da Libertadores de 2020 para o Guaraní-PAR', 'tipo_evento': 2, 'data': '2020-02-12'}]"
Corinthians,SP,Dyego Coelho,Brasil,2,False,2020-09-12,2020-10-11,1,3,3,1,1.0,[]
Corinthians,SP,Vagner Mancini,Brasil,1,False,2020-10-12,2021-05-16,20,13,12,1,1.0,"[{'nome': 'Eliminação nas oitavas de final da Copa do Brasil 2020 para o América-MG', 'tipo_evento': 2, 'data': '2020-11-04'}, {'nome': 'Eliminação na fase de grupos da Sul-Americana de 2021', 'tipo_evento': 2, 'data': '2021-05-13'}, {'nome': 'Eliminação na semifinal do Campeonato Paulista 2021 para o Palmeiras', 'tipo_evento': 2, 'data': '2021-05-16'}]"
Corinthians,SP,Fernando Lázaro,Brasil,2,False,2021-05-17,2021-05-26,2,0,0,1,1.0,[]
Corinthians,SP,Sylvinho,Brasil,1,False,2021-05-27,2022-02-03,16,14,13,1,1.0,"[{'nome': 'Eliminação na terceira fase da Copa do Brasil 2021 para o Atlético-GO', 'tipo_evento': 2, 'data': '2021-06-09'}]"
Corinthians,SP,Fernando Lázaro,Brasil,2,False,2022-02-04,2022-02-27,4,1,0,1,1.0,[]
Corinthians,SP,Vítor Pereira,Portugal,1,False,2022-02-28,2022-11-13,26,21,17,1,4.0,"[{'nome': 'Eliminação nas quartas de final da Libertadores de 2022 para o Flamengo', 'tipo_evento': 2, 'data': '2022-08-09'}]"
Corinthians,SP,Fernando Lázaro,Brasil,1,False,2022-11-20,2023-04-20,8,5,4,1,1.0,"[{'nome': 'Eliminação nas quartas de final do Campeonato Paulista de 2023 para o Ituano', 'tipo_evento': 2, 'data': '2023-03-12'}, {'nome': 'Eliminação na fase de grupos da Libertadores 2023', 'tipo_evento': 2, 'data': '2023-04-20'}]"
Corinthians,SP,Cuca,Brasil,1,False,2023-04-20,2023-04-26,1,0,1,1,2.0,[]
Corinthians,SP,Danilo,Brasil,2,False,2023-04-27,2023-04-30,0,0,1,1,4.0,[]
Corinthians,SP,Vanderlei Luxemburgo,Brasil,1,False,2023-05-01,2023-09-27,14,12,12,1,1.0,"[{'nome': 'Eliminação na fase de grupos da Libertadores de 2023', 'tipo_evento': 2, 'data': '2023-06-07'}, {'nome': 'Eliminação na semifinal da Copa do Brasil de 2023 para o São Paulo', 'tipo_evento': 2, 'data': '2023-08-16'}, {'nome': 'Eliminação na semifinal da Sul-Americana 2023 para o Fortaleza', 'tipo_evento': 2, 'data': '2023-09-27'}]"
Corinthians,SP,Mano Menezes,Brasil,1,False,2023-09-28,2024-02-05,6,5,9,1,1.0,"[{'nome': 'Eliminação na semifinal da Sul-Americana 2023 para o Fortaleza', 'tipo_evento': 2, 'data': '2023-10-03'}, {'nome': 'Eliminação na primeira fase do Campeonato Paulista 2024', 'tipo_evento': 2, 'data': '2024-02-05'}]"
Corinthians,SP,António Oliveira,Portugal,1,False,2024-02-09,,0,0,0,1,,"[{'nome': 'Eliminação na primeira fase do Campeonato Paulista 2024', 'tipo_evento': 2, 'data': '2024-03-03'}]"
Palmeiras,SP,Jair Picerni,Brasil,1,False,2002-12-22,2004-05-21,42,23,13,1,1.0,"[{'nome': 'Campeão da Série B em 2003', 'tipo_evento': 1, 'data': '2003-11-29'}, {'nome': 'Eliminação na semifinal do Paulista de 2003 para o Corinthians', 'tipo_evento': 2, 'data': '2003-03-08'}, {'nome': 'Eliminação nas oitavas da Copa do Brasil de 2003 para o Vitória', 'tipo_evento': 2, 'data': '2003-04-30'}, {'nome': 'Eliminação na fase prelimiar da Sul-Americana de 2003', 'tipo_evento': 2, 'data': '2003-08-13'}, {'nome': 'Eliminação na semifinal do Paulista de 2004 para o Paulista', 'tipo_evento': 2, 'data': '2004-04-04'}, {'nome': 'Eliminação nas quartas de final da Copa do Brasil de 2004 para o Santo André', 'tipo_evento': 2, 'data': '2004-05-20'}]"
Palmeiras,SP,Estevam Soares,Brasil,1,False,2004-05-23,2005-02-15,23,13,11,1,1.0,[]
Palmeiras,SP,Wilson Coimbra,Brasil,2,False,2004-05-23,2004-05-23,1,0,0,1,1.0,[]
Palmeiras,SP,Wilson Coimbra,Brasil,2,False,2005-02-16,2005-02-17,0,0,1,1,1.0,[]
Palmeiras,SP,Candinho,Brasil,1,False,2005-02-18,2005-04-20,5,5,6,1,1.0,[]
Palmeiras,SP,Paulo Bonamigo,Brasil,1,False,2005-04-21,2005-07-18,5,2,9,1,1.0,"[{'nome': 'Eliminação nas oitavas de final da Libertadores de 2005 para o São Paulo', 'tipo_evento': 2, 'data': '2005-05-25'}]"
Palmeiras,SP,Emerson Leão,Brasil,1,False,2005-07-18,2006-04-24,31,15,13,1,1.0,[]
Palmeiras,SP,Marcelo Villar,Brasil,2,False,2006-04-26,2006-05-14,0,2,3,1,1.0,"[{'nome': 'Eliminação nas oitavas da Libertadores de 2006 para o São Paulo', 'tipo_evento': 2, 'data': '2006-05-03'}]"
Palmeiras,SP,Tite,Brasil,1,False,2006-05-17,2006-09-22,8,5,7,1,2.0,[]
Palmeiras,SP,Marcelo Villar,Brasil,2,False,2006-09-24,2006-11-02,2,1,4,1,1.0,[]
Palmeiras,SP,Jair Picerni,Brasil,1,False,2006-11-02,2006-12-09,2,1,3,1,1.0,[]
Palmeiras,SP,Caio Júnior,Brasil,1,False,2006-12-09,2007-12-06,28,15,17,1,1.0,"[{'nome': 'Eliminação na segunda fase da Copa do Brasil de 2007 para o Ipatinga', 'tipo_evento': 2, 'data': '2007-04-05'}, {'nome': 'Eliminação na primeira fase do Campeonato Paulista de 2007', 'tipo_evento': 2, 'data': '2007-04-11'}]"
Palmeiras,SP,Vanderlei Luxemburgo,Brasil,1,False,2007-12-18,2009-06-27,60,25,26,1,1.0,"[{'nome': 'Campeão do Campeonato Paulista de 2008 sobre a Ponte Preta', 'tipo_evento': 1, 'data': '2008-05-04'}, {'nome': 'Eliminação na terceira fase da Copa do Brasil de 2008 para o Sport', 'tipo_evento': 2, 'data': '2008-05-01'}, {'nome': 'Eliminação nas quartas da Sul-Americana de 2008 para o Argetinos Juniors', 'tipo_evento': 2, 'data': '2008-11-05'}, {'nome': 'Eliminação na semifinal do Campeonato Paulista de 2009 para o Santos', 'tipo_evento': 2, 'data': '2009-04-18'}, {'nome': 'Eliminação nas quartas da Libertadores de 2009 para o Nacional', 'tipo_evento': 2, 'data': '2009-06-17'}]"
Palmeiras,SP,Jorginho Cantinflas,Brasil,2,False,2009-06-28,2009-07-18,5,1,1,1,1.0,[]
Palmeiras,SP,Muricy Ramalho,Brasil,1,False,2009-07-21,2010-02-18,13,11,10,1,1.0,[]
Palmeiras,SP,Antônio Carlos Zago,Brasil,1,False,2010-02-18,2010-05-18,9,5,5,1,1.0,"[{'nome': 'Eliminação na primeira fase do Campeonato Paulista de 2010', 'tipo_evento': 2, 'data': '2010-04-07'}, {'nome': 'Eliminação nas quartas da Copa do Brasil de 2010 para o Atlético-GO', 'tipo_evento': 2, 'data': '2010-05-05'}]"
Palmeiras,SP,Parraga,Brasil,2,False,2010-05-22,2010-06-06,1,2,2,1,1.0,[]
